extId__c,Churn__c,Name,Gender__c,Sentiment__c,MissingMortgagePayments__c,RetentionTeam__c,LifeStage__c
100,Yes,John Doe,Male,Negative,Yes,Not Engaged,Family
101,No,Kristen Merchant,Male,Positive,No,Not Engaged,Retired
102,No,Rajaa el-Rad,Male,Positive,No,Engaged,Family
103,No,Griffin Cary,Female,Positive,No,Not Engaged,Family
104,No,Mckenna Marsh,Male,Positive,No,Engaged,Family
105,No,Gregg Mcclelland,Female,Positive,No,Not Engaged,Family
106,No,Milena Werth,Male,Positive,No,Engaged,Family
107,No,Dakota Shoemaker,Female,Positive,No,Engaged,Retired
108,No,Mitch Stephens,Male,Negative,No,Engaged,Single
109,No,Shayla King,Male,Positive,No,Not Engaged,Family
110,No,Jera Ponce,Male,Positive,Yes,Engaged,Family
111,No,Andreas Borom,Female,Negative,No,Engaged,Single
112,No,Nicholas Inherst,Male,Neutral,Yes,Not Engaged,Retired
113,No,Adriana Dixon,Female,Positive,Yes,Engaged,Family
114,No,Jordan Smith,Female,Negative,Yes,Engaged,Family
115,No,Hugo Trujillo,Female,Positive,No,Not Engaged,Single
116,No,Abel Adhikari,Male,Positive,No,Engaged,Family
117,No,Trevon Howard,Female,Neutral,No,Engaged,Family
118,No,Catherine Stark,Female,Neutral,No,Engaged,Single
119,No,Kendra Gallegos,Male,Neutral,No,Engaged,Retired
120,No,Melissa Brown,Female,Neutral,No,Engaged,Family
121,No,Ty Burciaga,Female,Neutral,No,Engaged,Single
122,No,Mai Williams,Female,Negative,No,Engaged,Single
123,No,De Ja Vining,Male,Positive,No,Not Engaged,Retired
124,No,Gilbert Martinez,Female,Positive,Yes,Not Engaged,Family
125,No,Evan Hoots,Male,Neutral,Yes,Not Engaged,Retired
126,No,Farajallah el-Yacoub,Female,Positive,Yes,Not Engaged,Single
127,No,Lucille Robles,Female,Positive,No,Engaged,Retired
128,No,Eeland Yokota-Stroman,Male,Positive,No,Engaged,Family
129,No,Benjamin Balkenbush,Male,Neutral,No,Engaged,Family
130,No,Widdad al-Nasrallah,Female,Positive,No,Engaged,Retired
131,No,Krystiana Pinelo,Male,Negative,No,Engaged,Single
132,No,Naseem al-Farhat,Male,Negative,Yes,Not Engaged,Family
133,No,Jazmine Lovejoy,Female,Neutral,Yes,Not Engaged,Family
134,No,Jasmine Woodard,Female,Negative,No,Engaged,Family
135,No,Carolyn Vang,Male,Positive,Yes,Not Engaged,Family
136,No,Allison Haag,Female,Positive,No,Engaged,Family
137,No,Nicholas Khat,Female,Positive,No,Engaged,Family
138,No,Jose Herrera,Male,Neutral,Yes,Engaged,Single
