extId__c,Churn__c,Name,Gender__c,Sentiment__c,MissingMortgagePayments__c,RetentionTeam__c,LifeStage__c
1,Yes,John Doe,Male,Negative,Yes,Not Engaged,Family
2,No,Kristen Merchant,Male,Positive,No,Not Engaged,Retired
3,No,Rajaa el-Rad,Male,Positive,No,Engaged,Family
4,No,Griffin Cary,Female,Positive,No,Not Engaged,Family
5,No,Mckenna Marsh,Male,Positive,No,Engaged,Family
6,No,Gregg Mcclelland,Female,Positive,No,Not Engaged,Family
7,No,Milena Werth,Male,Positive,No,Engaged,Family
8,No,Dakota Shoemaker,Female,Positive,No,Engaged,Retired
9,No,Mitch Stephens,Male,Negative,No,Engaged,Single
10,No,Shayla King,Male,Positive,No,Not Engaged,Family
11,No,Jera Ponce,Male,Positive,Yes,Engaged,Family
12,No,Andreas Borom,Female,Negative,No,Engaged,Single
13,No,Nicholas Inherst,Male,Neutral,Yes,Not Engaged,Retired
14,No,Adriana Dixon,Female,Positive,Yes,Engaged,Family
15,No,Jordan Smith,Female,Negative,Yes,Engaged,Family
16,No,Hugo Trujillo,Female,Positive,No,Not Engaged,Single
17,No,Abel Adhikari,Male,Positive,No,Engaged,Family
18,No,Trevon Howard,Female,Neutral,No,Engaged,Family
19,No,Catherine Stark,Female,Neutral,No,Engaged,Single
20,No,Kendra Gallegos,Male,Neutral,No,Engaged,Retired
21,No,Melissa Brown,Female,Neutral,No,Engaged,Family
22,No,Ty Burciaga,Female,Neutral,No,Engaged,Single
23,No,Mai Williams,Female,Negative,No,Engaged,Single
24,No,De Ja Vining,Male,Positive,No,Not Engaged,Retired
25,No,Gilbert Martinez,Female,Positive,Yes,Not Engaged,Family
26,No,Evan Hoots,Male,Neutral,Yes,Not Engaged,Retired
27,No,Farajallah el-Yacoub,Female,Positive,Yes,Not Engaged,Single
28,No,Lucille Robles,Female,Positive,No,Engaged,Retired
29,No,Eeland Yokota-Stroman,Male,Positive,No,Engaged,Family
30,No,Benjamin Balkenbush,Male,Neutral,No,Engaged,Family
31,No,Widdad al-Nasrallah,Female,Positive,No,Engaged,Retired
32,No,Krystiana Pinelo,Male,Negative,No,Engaged,Single
33,No,Naseem al-Farhat,Male,Negative,Yes,Not Engaged,Family
34,No,Jazmine Lovejoy,Female,Neutral,Yes,Not Engaged,Family
35,No,Jasmine Woodard,Female,Negative,No,Engaged,Family
36,No,Carolyn Vang,Male,Positive,Yes,Not Engaged,Family
37,No,Allison Haag,Female,Positive,No,Engaged,Family
38,No,Nicholas Khat,Female,Positive,No,Engaged,Family
39,No,Jose Herrera,Male,Neutral,Yes,Engaged,Single
40,No,Christopher Valenzuela Vega,Male,Positive,Yes,Engaged,Retired
41,No,Jada Mcgirt,Male,Positive,No,Engaged,Single
42,No,Lucas Stettler,Female,Neutral,No,Engaged,Family
43,No,Ruwaid al-Jamal,Female,Negative,No,Engaged,Family
44,No,Cody Shute,Female,Positive,No,Engaged,Family
45,No,Emmitt Folsom,Male,Positive,Yes,Not Engaged,Family
46,No,Maleeha al-Zadeh,Male,Negative,No,Engaged,Retired
47,No,Elizabeth Benard,Female,Positive,No,Engaged,Family
48,No,Crissela Yoon,Male,Neutral,Yes,Engaged,Retired
49,No,Mone'T Starling,Male,Neutral,No,Not Engaged,Family
50,No,Andrew Womack,Male,Neutral,Yes,Engaged,Family
51,No,Parker Heimbegner,Female,Positive,No,Not Engaged,Single
52,No,Jahlisha Romero-Rough,Female,Negative,No,Engaged,Single
53,No,Michael Payne,Female,Positive,No,Engaged,Single
54,No,Jasmine Pacheco,Male,Negative,No,Engaged,Family
55,No,Damaris Grimaldo-Casados,Male,Negative,Yes,Engaged,Retired
56,No,Aaron Andrew,Female,Positive,Yes,Engaged,Family
57,No,Maazin al-Mina,Female,Positive,No,Engaged,Retired
58,No,Reynaldo Diaz,Male,Neutral,No,Not Engaged,Family
59,No,Matthew Wiersma,Male,Neutral,Yes,Not Engaged,Family
60,No,Ecstasy Green,Male,Positive,Yes,Not Engaged,Family
61,No,Marissa Urbina-Martinez,Male,Positive,No,Engaged,Retired
62,No,Dong-Keun Dinh,Female,Neutral,No,Engaged,Family
63,No,John Kniesche,Female,Positive,No,Engaged,Retired
64,No,Niki Joe,Male,Positive,Yes,Engaged,Retired
65,No,Sabiyya el-Ghattas,Male,Positive,Yes,Engaged,Retired
66,No,Jordan Dale,Female,Positive,Yes,Not Engaged,Retired
67,No,Layaali al-Anwar,Male,Negative,No,Engaged,Family
68,No,Jake Huskey,Female,Positive,No,Engaged,Retired
69,No,Luqmaan al-Fahs,Male,Positive,No,Engaged,Retired
70,No,Ivan Caldera,Female,Positive,Yes,Not Engaged,Family
